Senator,Estimated Holdings,Symbol,Company,Sector,Industry
James M Inhofe (R-OK),"$38,800",ONB,ONB Bank & Trust,Health Care,Medical/Dental Instruments
Kamala Harris (D-CA),"$38,800",VIS,Vanguard Industrials ETF,Health Care,Medical/Dental Instruments
Mitch McConnell (R-KY),"$38,800",VCSH,Vanguard Short-term Corporate Bond,Health Care,Medical/Dental Instruments
Shelley Moore Capito (R-WV),"$38,700",CVX,Chevron Corp,Health Care,Medical/Dental Instruments
John Hoeven (R-ND),"$38,600",SLB,Schlumberger Ltd,Health Care,Medical/Dental Instruments
Gary Peters (D-MI),"$38,400",MMM,3M Company,Health Care,Medical/Dental Instruments
Mitch McConnell (R-KY),"$38,400",SJNK,SPDR Barclays Short Term Corp Bond ETF,Miscellaneous,Business Services
Angus King (D-ME),"$38,300",USB,U.S. Bancorp,Miscellaneous,Business Services
Thom Tillis (R-NC),"$38,300",VWITX,Vanguard Interm-Term Tx-Ex Inv,Miscellaneous,Business Services
Mark Warner (D-VA),"$38,300",ABRCX,Invesco Balanced Risk Allocation Fund,Miscellaneous,Business Services
Ben Cardin (D-MD),"$38,200",ECMDX,Eaton Vance MD Municipal Income Fund,Miscellaneous,Business Services
Gary Peters (D-MI),"$38,100",CL,Colgate-Palmolive Co,Miscellaneous,Business Services
James M Inhofe (R-OK),"$38,000",DISCA,Discovery Communications,Miscellaneous,Business Services
Susan Collins (R-ME),"$38,000",AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
Sheldon Whitehouse (D-RI),"$38,000",VDC,Vanguard Consumer Staples ETF,Technology,Computer Manufacturing
Thad Cochran (R-MS),"$37,900",VILLX,Villere Balanced Inv (NASDAQ),Technology,Computer Manufacturing
Mike Rounds (R-SD),"$37,900",VWO,Vanguard Emerging Markets ETF,Technology,Computer Manufacturing
Rob Portman (R-OH),"$37,800",BGT,BlackRock Floating Rate Income Fund,Technology,Computer Manufacturing
Sheldon Whitehouse (D-RI),"$37,800",GJRTX,Goldman Sachs Abslt Ret Trck Fund,Technology,Computer Manufacturing
Ben Cardin (D-MD),"$37,700",IGSB,iShares 1-3 Year Credit Bond ETF,Technology,Computer Manufacturing
Angus King (D-ME),"$37,700",IWN,iShares Russell 2000 Value Index,Technology,Computer Manufacturing
Steve Daines (R-MT),"$37,700",ARTQX,Artisan Mid Cap Value Investor,Technology,Computer Manufacturing
John Hoeven (R-ND),"$37,600",WFC,Wells Fargo,Technology,Computer Manufacturing
Lisa Murkowski (R-AK),"$37,500",SCHF,Schwab International Equity ETF,Technology,Computer Manufacturing
Mark Warner (D-VA),"$37,400",ARBFX,Arbitrage Funds,Technology,Computer Manufacturing
Tom Carper (D-DE),"$37,300",PWBAX,Virtus AlphaSector Rotation,Technology,Computer Manufacturing
Gary Peters (D-MI),"$37,300",BK,Bank of New York Mellon,Technology,Computer Manufacturing
Rob Portman (R-OH),"$37,200",JMNSX,JPM Research Market Neutral Fund,Technology,Computer Manufacturing
David Perdue (R-GA),"$37,200",DFEMX,DFA Emerging Markets PORT Institutional Fund,Technology,Computer Manufacturing
Shelley Moore Capito (R-WV),"$37,100",PG,Procter & Gamble,Technology,Computer Manufacturing
Kamala Harris (D-CA),"$37,100",XLF,Financial Select Sector SPDR ETF,Technology,Computer Manufacturing
David Perdue (R-GA),"$37,000",BAH,Booz Allen Hamilton Holding Corporation,Technology,Computer Manufacturing
Sheldon Whitehouse (D-RI),"$37,000",EFA,Equity Investments MSCI EAFE,Technology,Computer Manufacturing
Kamala Harris (D-CA),"$37,000",HYG,iShares iBoxx $ High Yield Corp Bd ETF,Technology,Computer Manufacturing
Gary Peters (D-MI),"$37,000",UPS,United Parcel Service,Technology,Computer Manufacturing
Tom Carper (D-DE),"$36,900",TCEHY,Tencent Holdings Limited,Technology,Computer Manufacturing
Tom Carper (D-DE),"$36,900",WBA,Walgreen Co,Technology,Computer Manufacturing
David Perdue (R-GA),"$36,900",PSXP,Phillips 66 Partners LP,Technology,Computer Manufacturing
Mark Warner (D-VA),"$36,700",JSDUX,JPM Short Duration Bond Fund,Technology,Computer Manufacturing
Rob Portman (R-OH),"$36,700",DFIEX,DFA International Core Equity,Technology,Computer Manufacturing
Mitch McConnell (R-KY),"$36,700",RSPYX,RSPYX - RS Partners Y (NASDAQ)Filer comment: Share,Technology,Computer Manufacturing
Jerry Moran (R-KS),"$36,700",AAPL,Apple Inc.,Technology,Computer Manufacturing
John Hoeven (R-ND),"$36,700",ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals
Sheldon Whitehouse (D-RI),"$36,700",LSIFX,ClearBridge Aggressive Growth Fund,Technology,Computer Manufacturing
John Hoeven (R-ND),"$36,700",DD,DowDuPont Inc,Technology,Computer Manufacturing
Mark Warner (D-VA),"$36,700",GARIX,Gotham Absolute Return Fund,Technology,Computer Manufacturing
Susan Collins (R-ME),"$36,600",DBPIX,DWS Ultra Short Duration Svc Fund,Technology,Computer Manufacturing
Tom Udall (D-NM),"$36,600",CFWCX,Calvert Global Water,Technology,Computer Manufacturing
Sheldon Whitehouse (D-RI),"$36,500",PRWBX,T Rowe Price Short-Term Bond,Technology,Computer Manufacturing
Thad Cochran (R-MS),"$36,400",AAPL,Apple Inc.,Technology,Computer Manufacturing
Susan Collins (R-ME),"$36,200",RTX,United Technologies,Technology,Semiconductors
David Perdue (R-GA),"$36,200",GMOIX,GMO International Equity III,Technology,Semiconductors
Tom Carper (D-DE),"$36,200",PSEC,Prospect Capital Corp,Technology,Semiconductors
Michael Bennet (D-CO),"$36,200",VGK,Vanguard European Stock Index,Technology,Semiconductors
Rob Portman (R-OH),"$36,200",VGK,Vanguard European Stock Index,Technology,Semiconductors
Dianne Feinstein (D-CA),"$36,200",FDX,FedEx Corp,Technology,Semiconductors
Sheldon Whitehouse (D-RI),"$36,100",DEO,Diageo Plc,Technology,Semiconductors
Gary Peters (D-MI),"$36,100",RIBEX,American Funds Investment Co of America,Technology,Semiconductors
Mike Enzi (R-WY),"$36,100",TEQIX,Mutual Quest Fund,Technology,Semiconductors
Tom Carper (D-DE),"$36,100",SMG,The Scotts Miracle-Gro Company,Technology,Semiconductors
Jack Reed (D-RI),"$36,000",AMAT,"Applied Materials, Inc.",Technology,Semiconductors
Pat Toomey (R-PA),"$36,000",SHY,iShares 1-3 Year Treasury Bond ETF,Health Care,Medical/Dental Instruments
Chris Coons (D-DE),"$35,900",OIBNX,Oppenheimer International Bond,Health Care,Medical/Dental Instruments
Steve Daines (R-MT),"$35,900",OIBNX,Oppenheimer International Bond,Health Care,Medical/Dental Instruments
Thad Cochran (R-MS),"$35,800",CVS,CVS Health,Health Care,Medical/Dental Instruments
Susan Collins (R-ME),"$35,800",DAL,"Delta Air Lines, Inc.",Health Care,Medical/Dental Instruments
Steve Daines (R-MT),"$35,500",FTGFX,Templeton Growth Fund,Health Care,Medical/Dental Instruments
Sheldon Whitehouse (D-RI),"$35,300",DLR,"Digital Realty Trust, Inc.",Health Care,Medical/Dental Instruments
Gary Peters (D-MI),"$35,300",PPG,PPG Industries,Health Care,Medical/Dental Instruments
Joe Manchin (D-WV),"$35,200",DFGFX,DFA Two-Year Global Fixed Income Fund,Health Care,Medical/Dental Instruments
David Perdue (R-GA),"$35,200",LBFAX,Loomis Sayles Bond Fund,Health Care,Medical/Dental Instruments
Susan Collins (R-ME),"$35,100",USB,U.S. Bancorp,Health Care,Medical/Dental Instruments
Tina Smith (D-MN),"$35,100",ZBH,Zimmer Biomet,Health Care,Medical/Dental Instruments
Gary Peters (D-MI),"$35,100",DD,DowDuPont Inc,Health Care,Medical/Dental Instruments
Mike Enzi (R-WY),"$35,100",TEMWX,TEMWX - Templeton World A (NASDAQ),Health Care,Medical/Dental Instruments
Maggie Hassan (D-NH),"$35,100",TICHX,CREF Social Choice Account,Health Care,Medical/Dental Instruments
Kamala Harris (D-CA),"$35,000",EMLC,EMLC - VanEck Vectors JP Morgan EM LC Bd ETF,Health Care,Medical/Dental Instruments
Tom Carper (D-DE),"$35,000",VZ,Verizon Communications,Health Care,Medical/Dental Instruments
Tom Carper (D-DE),"$35,000",ARCC,Ares Capital Corporation,Health Care,Medical/Dental Instruments
Tom Carper (D-DE),"$34,900",MMM,3M Company,Health Care,Medical/Dental Instruments
Bill Cassidy (R-LA),"$34,900",YACKX,AMG Yacktman Service Fund,Public Utilities,Oil/Gas Transmission
Thad Cochran (R-MS),"$34,800",JPM,JPMorgan Chase & Co,Public Utilities,Oil/Gas Transmission
David Perdue (R-GA),"$34,700",XOM,Exxon Mobil,Public Utilities,Oil/Gas Transmission
Sheldon Whitehouse (D-RI),"$34,700",FCNKX,Fidelity Contrafund,Public Utilities,Oil/Gas Transmission
Dianne Feinstein (D-CA),"$34,600",FEYE,FireEye Inc,Public Utilities,Oil/Gas Transmission
Tom Carper (D-DE),"$34,600",SPEU,SPDR Euro STOXX 50 ETF,Public Utilities,Oil/Gas Transmission
Lisa Murkowski (R-AK),"$34,600",FSLCX,Fidelity Small Cap Fund,Public Utilities,Oil/Gas Transmission
Gary Peters (D-MI),"$34,500",UBS,UBS Group,Public Utilities,Oil/Gas Transmission
David Perdue (R-GA),"$34,500",TEQIX,Mutual Quest Fund,Public Utilities,Oil/Gas Transmission
David Perdue (R-GA),"$34,400",LNG,"Cheniere Energy, Inc.",Public Utilities,Oil/Gas Transmission
Susan Collins (R-ME),"$34,400",FTGFX,Templeton Growth Fund,Consumer Non-Durables,Farming/Seeds/Milling
John Boozman (R-AR),"$34,200",PFE,Pfizer Inc,Consumer Non-Durables,Farming/Seeds/Milling
Susan Collins (R-ME),"$34,100",WASCX,Ivy Asset Strategy C (NASDAQ),Consumer Non-Durables,Farming/Seeds/Milling
David Perdue (R-GA),"$34,100",DOW,Dow Chemical,Consumer Non-Durables,Farming/Seeds/Milling
Brian Schatz (D-HI),"$34,000",MAVSX,Mutual of America Small Cap Value Institutional,Consumer Non-Durables,Farming/Seeds/Milling
Ben Cardin (D-MD),"$33,900",IGOV,iShares International Treasury Bond,Consumer Non-Durables,Farming/Seeds/Milling
Michael Bennet (D-CO),"$33,900",TVOAX,Touchstone Small Cap Core Fund,Consumer Non-Durables,Farming/Seeds/Milling
Tom Carper (D-DE),"$33,900",PG,Procter & Gamble,Consumer Non-Durables,Farming/Seeds/Milling
Rob Portman (R-OH),"$33,800",WIP,WIP - SPDR DB Intl Govt Infl-Protected Bond,Consumer Non-Durables,Farming/Seeds/Milling
Tammy Duckworth (D-IL),"$33,800",CWGIX,American Cap World Growth Income Fund,Consumer Non-Durables,Farming/Seeds/Milling
David Perdue (R-GA),"$33,700",MSM,"MSC Industrial Direct Co., Inc.",Consumer Non-Durables,Farming/Seeds/Milling
Ron Wyden (D-OR),"$33,700",DISVX,DFA International Small Cap Value Fund,Consumer Non-Durables,Farming/Seeds/Milling
Shelley Moore Capito (R-WV),"$33,600",USB,U.S. Bancorp,Consumer Non-Durables,Farming/Seeds/Milling
Tom Carper (D-DE),"$33,600",PHYS,Sprott Physical Gold Trust ETV,Consumer Non-Durables,Farming/Seeds/Milling
Tom Udall (D-NM),"$33,500",ESIYX,ESIYX - Wells Fargo Advantage Intl Bond A (NASDAQ),Consumer Non-Durables,Farming/Seeds/Milling
Ted Cruz (R-TX),"$33,400",CVX,Chevron Corp,Consumer Non-Durables,Farming/Seeds/Milling
John Boozman (R-AR),"$33,300",ECL,Ecolab Inc,Consumer Non-Durables,Farming/Seeds/Milling
Gary Peters (D-MI),"$33,300",MET,MetLife Inc,Consumer Non-Durables,Farming/Seeds/Milling
Ron Wyden (D-OR),"$33,200",OOSNX,Oppenheimer Senior Floating Rate Fund,Consumer Non-Durables,Farming/Seeds/Milling
Gary Peters (D-MI),"$33,000",LEG,Leggett & Platt,Consumer Non-Durables,Farming/Seeds/Milling
Shelley Moore Capito (R-WV),"$33,000",GIS,General Mills,Consumer Non-Durables,Farming/Seeds/Milling
Mark Warner (D-VA),"$33,000",DODFX,Dodge & Cox International Fund,Consumer Non-Durables,Farming/Seeds/Milling
Thad Cochran (R-MS),"$32,900",IP,International Paper,Consumer Non-Durables,Farming/Seeds/Milling
Jerry Moran (R-KS),"$32,900",CVX,Chevron Corp,Consumer Non-Durables,Farming/Seeds/Milling
Dan Sullivan (R-AK),"$32,400",IWD,iShares Russell 1000 Value ETF,Consumer Non-Durables,Farming/Seeds/Milling
Jack Reed (D-RI),"$32,400",NXPI,Nxp Semiconductors,Consumer Non-Durables,Farming/Seeds/Milling
John Boozman (R-AR),"$32,400",DBLEX,Doubleline Emg Mkts Inc,Consumer Non-Durables,Farming/Seeds/Milling
Tom Carper (D-DE),"$32,400",TGRUX,Invesco Pacific Growth Fund,Consumer Non-Durables,Farming/Seeds/Milling
Sheldon Whitehouse (D-RI),"$32,200",MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling
Susan Collins (R-ME),"$32,200",WFC,Wells Fargo,Consumer Services,Television Services
Mazie K Hirono (D-HI),"$32,200",GDCFX,Goldman Sachs Dynamic Allocation Institutional,Consumer Services,Television Services
Chris Coons (D-DE),"$32,100",OPTFX,Oppenheimer Capital Appreciation Fund,Consumer Services,Television Services
Bill Cassidy (R-LA),"$32,000",CVS,CVS Health,Consumer Services,Television Services
Gary Peters (D-MI),"$31,800",UNP,Union Pacific Corp,Consumer Services,Television Services
Tom Carper (D-DE),"$31,800",FIF,First Trust Energy Infrastructure Fund,Consumer Services,Television Services
Susan Collins (R-ME),"$31,700",CMCSA,Comcast Corporation,Consumer Services,Television Services
John Hoeven (R-ND),"$31,400",VLO,Valero Energy,Miscellaneous,Business Services
Susan Collins (R-ME),"$31,400",HFECX,Henderson European Focus Fund,Miscellaneous,Business Services
Thad Cochran (R-MS),"$31,400",COP,ConocoPhillips,Miscellaneous,Business Services
Shelley Moore Capito (R-WV),"$31,400",PII,Polaris Industries,Miscellaneous,Business Services
Susan Collins (R-ME),"$31,200",HON,Honeywell International,Miscellaneous,Business Services
Kamala Harris (D-CA),"$31,200",VIEIX,VIEIX-Vanguard Extended Market Index Instl,Miscellaneous,Business Services
Pat Roberts (R-KS),"$31,100",BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services
Pat Toomey (R-PA),"$31,100",NRDBY,Nordea Bank AB,Health Care,Major Pharmaceuticals
Tammy Duckworth (D-IL),"$30,800",OIEJX,JPMorgan Equity Income R6,Health Care,Major Pharmaceuticals
Susan Collins (R-ME),"$30,800",NSRGY,Nestle,Health Care,Major Pharmaceuticals
David Perdue (R-GA),"$30,700",EAF,GrafTech International Ltd.,Health Care,Major Pharmaceuticals
John Hoeven (R-ND),"$30,700",TWO,Two Harbors Investment Corp.,Health Care,Major Pharmaceuticals
Jerry Moran (R-KS),"$30,600",DIS,The Walt Disney Co,Health Care,Major Pharmaceuticals
Dianne Feinstein (D-CA),"$30,400",SCHW,Charles Schwab,Health Care,Major Pharmaceuticals
Joe Manchin (D-WV),"$30,400",DTMIX,DFA Tax-Managed International Value,Health Care,Major Pharmaceuticals
Sheldon Whitehouse (D-RI),"$30,300",CP,Canadian Pacific Railway,Health Care,Major Pharmaceuticals
Pat Roberts (R-KS),"$30,300",MA,Mastercard Inc,Health Care,Major Pharmaceuticals
Tammy Duckworth (D-IL),"$30,300",VZ,Verizon Communications,Health Care,Major Pharmaceuticals
Gary Peters (D-MI),"$30,300",ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals
David Perdue (R-GA),"$30,200",ENB,Enbridge Inc.,Consumer Services,Hotels/Resorts
Susan Collins (R-ME),"$30,200",MA,Mastercard Inc,Consumer Services,Hotels/Resorts
Gary Peters (D-MI),"$30,100",PLAAX,Pace Large Co Growth Equity Investments,Consumer Services,Hotels/Resorts
Gary Peters (D-MI),"$30,100",MPW,Medical Properties Trust,Consumer Services,Hotels/Resorts
Tammy Duckworth (D-IL),"$30,100",DIS,The Walt Disney Co,Consumer Services,Hotels/Resorts
David Perdue (R-GA),"$30,100",CZR,Caesars Entertainment Corporation,Consumer Services,Hotels/Resorts
Mazie K Hirono (D-HI),"$30,000",MFC,Manulife Financial,Finance,Accident &Health Insurance
Jerry Moran (R-KS),"$29,900",COST,Costco Wholesale,Finance,Accident &Health Insurance
Tom Carper (D-DE),"$29,900",VLO,Valero Energy,Finance,Accident &Health Insurance
Thad Cochran (R-MS),"$29,600",WBA,Walgreen Co,Finance,Accident &Health Insurance
Angus King (D-ME),"$29,600",GILD,Gilead Sciences,Finance,Accident &Health Insurance
Bill Cassidy (R-LA),"$29,600",VFC,V.F. Corporation,Finance,Accident &Health Insurance
Joe Manchin (D-WV),"$29,500",PRU,Prudential Financial,Finance,Accident &Health Insurance
Tina Smith (D-MN),"$29,400",HII,Huntington Ingalls Industries,Finance,Accident &Health Insurance
Thad Cochran (R-MS),"$29,400",V,Visa Inc,Finance,Accident &Health Insurance
Sheldon Whitehouse (D-RI),"$29,300",KO,Coca-Cola Co,Finance,Accident &Health Insurance
Mike Crapo (R-ID),"$29,300",PXTIX,PIMCO Fundamental Index,Finance,Accident &Health Insurance
Thad Cochran (R-MS),"$29,300",TCAP,Triangle Capital,Finance,Accident &Health Insurance
Tammy Duckworth (D-IL),"$29,100",VYM,Vanguard High Dividend Yield ETF,Finance,Accident &Health Insurance
Cindy Hyde-Smith (R-MS),"$29,100",ITHAX,Hartford Capitol Appreciated,Finance,Accident &Health Insurance
Angus King (D-ME),"$29,000",NEE,NextEra Energy,Finance,Accident &Health Insurance
Thad Cochran (R-MS),"$29,000",NEE,NextEra Energy,Finance,Accident &Health Insurance
Bill Cassidy (R-LA),"$29,000",AFL,Aflac Incorporated,Finance,Accident &Health Insurance
James M Inhofe (R-OK),"$29,000",MS,Dean Witter,Consumer Services,Rental/Leasing Companies
Ben Sasse (R-NE),"$28,900",IWP,iShares Russell Mid Cap Growth ETF,Consumer Services,Rental/Leasing Companies
James M Inhofe (R-OK),"$28,900",INTU,Intuit Inc.,Consumer Services,Rental/Leasing Companies
David Perdue (R-GA),"$28,900",SHLX,"Shell Midstream Partners, L.P.",Consumer Services,Rental/Leasing Companies
Shelley Moore Capito (R-WV),"$28,900",SMECF,SMC Corporation,Consumer Services,Rental/Leasing Companies
James M Inhofe (R-OK),"$28,800",CSX,CSX Corp,Consumer Services,Rental/Leasing Companies
Cindy Hyde-Smith (R-MS),"$28,600",RPEBX,American Funds New Perspective Fund,Consumer Services,Rental/Leasing Companies
Tammy Duckworth (D-IL),"$28,600",DODIX,Dodge & Cox Income Fund,Consumer Services,Rental/Leasing Companies
James M Inhofe (R-OK),"$28,500",BFAM,Bright Horizons Family Solutions Inc.,Consumer Services,Rental/Leasing Companies
Tom Carper (D-DE),"$28,400",PKG,Packaging Corp,Consumer Services,Rental/Leasing Companies
James M Inhofe (R-OK),"$28,300",CLR,Continental Resources,Consumer Services,Rental/Leasing Companies
James M Inhofe (R-OK),"$28,200",LH,Labcorp of America,Consumer Services,Rental/Leasing Companies
David Perdue (R-GA),"$28,200",DAL,"Delta Air Lines, Inc.",Consumer Services,Rental/Leasing Companies
Shelley Moore Capito (R-WV),"$28,100",IBM,IBM Corp,Consumer Services,Rental/Leasing Companies
Thad Cochran (R-MS),"$28,100",HD,Home Depot,Consumer Services,Rental/Leasing Companies
Bernie Sanders (D-VT),"$28,100",VUSTX,Vanguard Long-Term Treasury Fund,Consumer Services,Rental/Leasing Companies
Tom Carper (D-DE),"$28,100",WIA,Western Asset Claymore Inflation Protect,Consumer Services,Rental/Leasing Companies
Cindy Hyde-Smith (R-MS),"$28,100",BTIAX,NT TIPS INDEX FUND,Consumer Services,Rental/Leasing Companies
John Hoeven (R-ND),"$28,000",MRK,Merck & Co,Consumer Services,Rental/Leasing Companies
Tammy Duckworth (D-IL),"$28,000",CAIBX,American Funds Capital Income Builder Fund,Consumer Services,Rental/Leasing Companies
Tammy Duckworth (D-IL),"$27,800",JMBUX,JMBUX-JPMorgan Mortgage-Backed Securities R6Filer,Consumer Services,Rental/Leasing Companies
Tammy Duckworth (D-IL),"$27,700",SBLYX,SBLYX-ClearBridge Large Cap Growth I,Consumer Services,Rental/Leasing Companies
David Perdue (R-GA),"$27,600",UHAL,Amerco,Consumer Services,Rental/Leasing Companies
David Perdue (R-GA),"$27,600",M,Macy's Inc,Technology,Computer Communications Equipment
David Perdue (R-GA),"$27,500",CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment
Ben Sasse (R-NE),"$27,500",VNQI,Vanguard Global ex-US Real Estate ETF,Basic Industries,Major Chemicals
Tom Carper (D-DE),"$27,400",IEP,Icahn Enterprises,Basic Industries,Major Chemicals
Susan Collins (R-ME),"$27,300",MRK,Merck & Co,Basic Industries,Major Chemicals
Tammy Duckworth (D-IL),"$27,300",APHKX,Artisan International Value Fund,Basic Industries,Major Chemicals
Gary Peters (D-MI),"$26,900",NYT,New York Times,Basic Industries,Major Chemicals
Susan Collins (R-ME),"$26,900",EMC,EMC Corp. Mass EMC,Basic Industries,Major Chemicals
Susan Collins (R-ME),"$26,800",CP,Canadian Pacific Railway,Basic Industries,Major Chemicals
Tammy Duckworth (D-IL),"$26,800",FGORX,FGORX-Franklin US Government Secs R6,Basic Industries,Major Chemicals
John Boozman (R-AR),"$26,800",PG,Procter & Gamble,Basic Industries,Major Chemicals
Tammy Duckworth (D-IL),"$26,800",BSV,Vanguard Short Term Bond Fund,Basic Industries,Major Chemicals
Doug Jones (D-AL),"$26,700",NLSIX,Neuberger Berman Long Short Instl,Basic Industries,Major Chemicals
David Perdue (R-GA),"$26,700",COP,ConocoPhillips,Basic Industries,Major Chemicals
Doug Jones (D-AL),"$26,400",JCUAX,JHancock Absolute Return Currency I,Basic Industries,Major Chemicals
Susan Collins (R-ME),"$26,200",WEX,WEX Inc.,Basic Industries,Major Chemicals
Sheldon Whitehouse (D-RI),"$26,200",TMUS,"T-Mobile US, Inc.",Basic Industries,Major Chemicals
Mike Enzi (R-WY),"$26,100",JPC,Nuveen Preferred Income Opport,Basic Industries,Major Chemicals
Sheldon Whitehouse (D-RI),"$26,000",FB,Facebook Inc,Basic Industries,Major Chemicals
Dianne Feinstein (D-CA),"$25,900",AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals
Sheldon Whitehouse (D-RI),"$25,800",VGT,Vanguard Information Technology ETF,Consumer Services,Transportation Services
John Boozman (R-AR),"$25,800",DTE,DTE Energy Company (NYSE),Consumer Services,Transportation Services
David Perdue (R-GA),"$25,700",KHC,The Kraft Heinz Company,Consumer Services,Transportation Services
Tim Kaine (D-VA),"$25,600",FGRIX,Fidelity Growth & Income Fund,Consumer Services,Transportation Services
Tammy Duckworth (D-IL),"$25,600",SIGVX,SIGVX-Virtus Seix US Govt Secs Ultr-Shrt Bd IFiler,Consumer Services,Transportation Services
Kamala Harris (D-CA),"$25,600",XSHD,PowerShares Exchange-Traded Fund Trust II,Consumer Services,Transportation Services
Doug Jones (D-AL),"$25,400",MEDIX,MEDIX - MFS Emerging Markets Debt I,Consumer Services,Transportation Services
Doug Jones (D-AL),"$25,300",PHYTX,Principal High Yield Inst,Consumer Services,Transportation Services
John Boozman (R-AR),"$25,300",SWK,Stanley Black & Decker,Consumer Services,Transportation Services
Sheldon Whitehouse (D-RI),"$25,300",CMRE,Costamare Inc,Consumer Services,Transportation Services
David Perdue (R-GA),"$25,100",BKNG,Booking Holdings Inc.,Consumer Services,Transportation Services
Jim Risch (R-ID),"$25,000",PEXMX,T Rowe Price Extended Equity Market Indx,Finance,Investment Bankers/Brokers/Service
Joni Ernst (R-IA),"$25,000",IVZ,Invesco Aim,Finance,Investment Bankers/Brokers/Service
Tom Carper (D-DE),"$25,000",GLAD,Gladstone Corp,Finance,Investment Bankers/Brokers/Service
Cindy Hyde-Smith (R-MS),"$25,000",VWNEX,Vanguard Windsor Adm,Finance,Investment Bankers/Brokers/Service
Gary Peters (D-MI),"$25,000",NEM,Newmont Mining,Finance,Investment Bankers/Brokers/Service
Cindy Hyde-Smith (R-MS),"$24,900",PRFEX,T ROWE PRICE INTERNATIONAL GROWTH EQUITY TRUST,Finance,Investment Bankers/Brokers/Service
Ben Cardin (D-MD),"$24,800",XLK,Technology Sector SPDR Trust,Finance,Investment Bankers/Brokers/Service
Doug Jones (D-AL),"$24,700",JHAIX,JHancock Global Absolute Ret Strats I,Finance,Investment Bankers/Brokers/Service
Tom Carper (D-DE),"$24,700",MSFT,Microsoft Corp,Finance,Investment Bankers/Brokers/Service
Dan Sullivan (R-AK),"$24,600",DODFX,Dodge & Cox International Fund,Finance,Investment Bankers/Brokers/Service
John Thune (R-SD),"$24,500",SGGDX,First Eagle Gold I,Finance,Investment Bankers/Brokers/Service
Mitch McConnell (R-KY),"$24,500",SGGDX,First Eagle Gold I,Finance,Investment Bankers/Brokers/Service
Ben Sasse (R-NE),"$24,500",IWO,iShares Russell 2000 Growth Fund,Finance,Investment Bankers/Brokers/Service
Sheldon Whitehouse (D-RI),"$24,400",PRASX,T Rowe Price New Asia,Finance,Investment Bankers/Brokers/Service
Lisa Murkowski (R-AK),"$24,400",MSEGX,Morgan Stanley Growth Fund,Finance,Investment Bankers/Brokers/Service
Angus King (D-ME),"$24,300",CME,CME Group Inc.,Finance,Investment Bankers/Brokers/Service
Doug Jones (D-AL),"$24,100",PSMIX,Principal Global Multi-Strategy Instl,Health Care,Major Pharmaceuticals
Tom Carper (D-DE),"$23,800",ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals
John Boozman (R-AR),"$23,700",EAT,Brinker Intl Inc,Finance,Property-Casualty Insurers
Tom Carper (D-DE),"$23,600",IWD,iShares Russell 1000 Value ETF,Finance,Property-Casualty Insurers
Bernie Sanders (D-VT),"$23,600",VCSTX,Valic Science & Tech Fund,Finance,Property-Casualty Insurers
Gary Peters (D-MI),"$23,500",AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers
Gary Peters (D-MI),"$23,400",QCOM,Qualcomm Inc,Consumer Services,RETAIL: Building Materials
Doug Jones (D-AL),"$23,400",OIBNX,Oppenheimer International Bond,Consumer Services,RETAIL: Building Materials
Sheldon Whitehouse (D-RI),"$23,400",HYT,Blackrock Corporate High Yield,Consumer Services,RETAIL: Building Materials
Shelley Moore Capito (R-WV),"$23,300",XOM,Exxon Mobil,Consumer Services,RETAIL: Building Materials
Dianne Feinstein (D-CA),"$23,100",FRC,First Republic Bank,Consumer Services,RETAIL: Building Materials
Thad Cochran (R-MS),"$23,000",SYK,Concentric Medical Inc,Consumer Services,RETAIL: Building Materials
Gary Peters (D-MI),"$23,000",VZ,Verizon Communications,Consumer Services,RETAIL: Building Materials
Ed Markey (D-MA),"$23,000",QQQ,Power Shares QQQ Trust,Consumer Services,RETAIL: Building Materials
Jack Reed (D-RI),"$23,000",QQQ,Power Shares QQQ Trust,Consumer Services,RETAIL: Building Materials
Mike Enzi (R-WY),"$23,000",QQQ,Power Shares QQQ Trust,Consumer Services,RETAIL: Building Materials
Sheldon Whitehouse (D-RI),"$22,900",COF,Capital One Financial,Consumer Services,RETAIL: Building Materials
Gary Peters (D-MI),"$22,800",CVS,CVS Health,Consumer Services,RETAIL: Building Materials
Jerry Moran (R-KS),"$22,800",HAL,Halliburton Co,Consumer Services,RETAIL: Building Materials
Susan Collins (R-ME),"$22,800",PRGO,Perrigo Co,Consumer Services,RETAIL: Building Materials
Susan Collins (R-ME),"$22,800",MDDVX,MDDVX - BlackRock Equity Dividend Inv A (NASDAQ),Consumer Services,RETAIL: Building Materials
David Perdue (R-GA),"$22,800",MPLX,MPLX LP,Consumer Services,RETAIL: Building Materials
Thad Cochran (R-MS),"$22,700",ROST,Ross Stores,Consumer Services,RETAIL: Building Materials
Gary Peters (D-MI),"$22,600",WPC,WP Carey Inc,Consumer Services,RETAIL: Building Materials
